Gaststätte „Gliggermühle“,Ludwigstraße 7,Altrip,1732,"Fachwerkhaus, teilweise massiv, 1732",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Altrip,49.433225,8.502774
Denkmalzone Speyerer Straße,"Speyerer Straße 125, 127, 129",Schifferstadt,1920!1920er Jahre,"Gruppe gleichartiger Wohnhäuser mit Toranlagen, eineinhalbgeschossige Putzbauten, expressionistische Motive, 1920er Jahre",Kein Bild vorhanden,49.373471,8.378813
Wasserturm,"Am Wasserturm, Ecke Mannheimer Straße",Schifferstadt,1931,"zwölfseitiger Betonbau mit Zeltdach, 1931, mit technischer Ausstattung; ortsbildprägend",Kein Bild vorhanden,49.391662,8.386088
Fachwerkhaus,Bäckergasse 2,Schifferstadt,1722,"eingeschossiges Fachwerkwohnhaus, bezeichnet 1722; ortsbildprägend",Kein Bild vorhanden,49.386353,8.372097
Hofanlage,Bahnhofstraße 15,Schifferstadt,1700!erste Hälfte des 18. Jahrhunderts,"barocker Kleinbauernhof, erste Hälfte des 18. Jahrhunderts; eingeschossiges Fachwerkwohnhaus, Scheune, Stall, Toranlage bezeichnet 1775",Kein Bild vorhanden,49.388131,8.373822
Fachwerkhaus,Bahnhofstraße 28,Schifferstadt,1800!frühes 19. Jahrhundert,"eingeschossiges Fachwerkwohnhaus mit Kniestock, frühes 19. Jahrhundert",Kein Bild vorhanden,49.387198,8.3743
Wohnhaus,Bahnhofstraße 31,Schifferstadt,1898,"spätgründerzeitliches Wohnhaus, klinkerverblendeter bzw. sandsteingegliederter Backsteinbau, 1898",Kein Bild vorhanden,49.389061,8.372684
Wohnhaus,Bahnhofstraße 52,Schifferstadt,1900!um 1900,"sandsteingegliederter Putzbau auf unregelmäßigem Grundriss, Renaissance- und Jugendstilmotive, um 1900; ortsbildprägend",Kein Bild vorhanden,49.389043,8.373403
Wohnhaus,Bahnhofstraße 53,Schifferstadt,1921,"Wohnhaus der Walzenmühle Gebrüder Strobel; stattlicher Putzbau, historisierende und Heimatstilmotive, bezeichnet 1921",Kein Bild vorhanden,49.390436,8.368791
Villa,Bahnhofstraße 72,Schifferstadt,1920!1920er Jahre,"barockisierende Doppelvilla auf unregelmäßigem Grundriss, Walmdach, 1920er Jahre",Kein Bild vorhanden,49.389837,8.371013
Bahnhof Schifferstadt,"Bahnhofstraße, zu Nr. 83",Schifferstadt,1847,"vom 1847 fertiggestellten Bahnhof erhalten: Reste des historisierenden gusseisernen Tragwerks der Bahnsteigüberdachung, Reste der Geländer zur Unterführung, 1847",Kein Bild vorhanden,49.392037,8.36471
Wohnhaus,Bahnhofstraße 102,Schifferstadt,1900!um 1900,"spätgründerzeitliches Wohnhaus, verklinkerter Backsteinbau, Jugendstilmotive, um 1900",Kein Bild vorhanden,49.391945,8.367028
Fachwerkhaus,Burgstraße 5,Schifferstadt,1700!Anfang des 18. Jahrhunderts,"barockes Fachwerkwohnhaus, wohl vom Anfang des 18. Jahrhunderts; straßenbildprägend",Kein Bild vorhanden,49.385984,8.370101
Fachwerkhaus,Burgstraße 6,Schifferstadt,1700,"eingeschossiges barockes Fachwerkhaus mit Kniestock, bezeichnet 1700 (?)",Kein Bild vorhanden,49.386128,8.369739
Fachwerkhaus,Burgstraße 8,Schifferstadt,1750!Mitte des 18. Jahrhunderts,"eingeschossiges barockes Fachwerkhaus mit Kniestock, wohl aus der Mitte des 18. Jahrhunderts",Kein Bild vorhanden,49.386128,8.369813
Hofanlage,Burgstraße 14,Schifferstadt,1703,"große barocke Hofanlage; Fachwerkwohnhaus, bezeichnet 1703; Fachwerkhaus mit Krüppelwalmdach, Torfahrt bezeichnet 1737",Kein Bild vorhanden,49.385677,8.37008
Fachwerkhaus,Burgstraße 21,Schifferstadt,1720,"barockes Fachwerkwohnhaus, bezeichnet 1720",Kein Bild vorhanden,49.385021,8.370395
Fachwerkhaus,Burgstraße 23,Schifferstadt,1787,"eingeschossiges Fachwerkhaus mit Kniestock, bezeichnet 1787, Torpfosten bezeichnet 1778",Kein Bild vorhanden,49.384895,8.370411
Fachwerkhaus,Burgstraße 26,Schifferstadt,1750!zweite Hälfte des 18. Jahrhunderts,"eingeschossiges Fachwerkwohnhaus mit Kniestock, zweite Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.384929,8.370236
Hofanlage,Burgstraße 31,Schifferstadt,1700!18. und 19. Jahrhundert,"Dreiseithof, 18. und 19. Jahrhundert; Fachwerkbau mit Kniestock, 18. Jahrhundert; Altensitz, Torfahrt",Kein Bild vorhanden,49.384226,8.370604
Hofanlage,Burgstraße 40,Schifferstadt,1700!18. Jahrhundert,"ehemalige Hofanlage; zwei Fachwerkbauten, 18. Jahrhundert und erste Hälfte des 18. Jahrhunderts; straßenbildprägend",Kein Bild vorhanden,49.383921,8.370447
Fachwerkhaus,Burgstraße 56,Schifferstadt,1700!erste Hälfte des 18. Jahrhunderts,"eingeschossiges Fachwerkwohnhaus mit Kniestock, erste Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.382754,8.371055
Stationskreuz,"Burgstraße, an Nr. 64",Schifferstadt,1850!Mitte des 19. Jahrhunderts,"neugotisches Stationskreuz, Gusseisen, Mitte des 19. Jahrhunderts",Kein Bild vorhanden,49.382268,8.371396
Fachwerkhaus,Große Kapellenstraße 6,Schifferstadt,1750!Mitte des 18. Jahrhunderts,"eingeschossiges Fachwerkwohnhaus, Mitte des 18. Jahrhunderts",Kein Bild vorhanden,49.385893,8.371369
Fachwerkhaus,Große Kapellenstraße 8,Schifferstadt,1743,"eingeschossiges Fachwerkwohnhaus, bezeichnet 1743",Kein Bild vorhanden,49.38571,8.371473
Toranlage,"Große Kapellenstraße, zu Nr. 31",Schifferstadt,1778,"drei spätbarocke Pfosten einer Toranlage, bezeichnet 1778",Kein Bild vorhanden,49.383914,8.372273
Fachwerkhaus,Große Kapellenstraße 41,Schifferstadt,1756,"eingeschossiges Fachwerkwohnhaus mit Kniestock, Torpfosten bezeichnet 1756",Kein Bild vorhanden,49.383189,8.372608
Wegekreuz,Hauptstraße/Speyerer Straße (Kreuzplatz),Schifferstadt,1650,"Barocksockel von 1650, darauf Sandsteinkruzifix, bezeichnet 1816",//commons.wikimedia.org/wiki/Category:St._Laurentius_(Schifferstadt),49.381106,8.374067
Wohnhaus,Iggelheimer Straße 3,Schifferstadt,1920!um 1920,"stattliches Wohnhaus, eingeschossiger Mansarddachbau, um 1920",Kein Bild vorhanden,49.386168,8.368632
Wohnhaus,Iggelheimer Straße 5,Schifferstadt,1920!1920er Jahre,"villenartiges gussteingegliedertes Wohnhaus mit Walmdach, 1920er Jahre",Kein Bild vorhanden,49.386125,8.368326
Katholische Pfarrkirche St. Laurentius,Jägerstraße 16,Schifferstadt,1928!1928/29,"dreischiffiger expressionistischer Bau mit Turm, 1928/29, Architekt Albert Boßlet; mit Ausstattung",Kein Bild vorhanden,49.377469,8.37722
Wegekreuz,"Ketzerweg, vor Nr. 30",Schifferstadt,1817,"Wegekreuz, Rotsandstein, bezeichnet 1817",Kein Bild vorhanden,49.384387,8.354868
Darlehnskasse,Kirchenstraße 3,Schifferstadt,1903,"ehemalige Darlehnskasse; repräsentativer Jugendstilbau, 1903",//commons.wikimedia.org/wiki/Category:St._Jakobus_(Schifferstadt),49.387392,8.373555
Fachwerkhaus,Kirchenstraße 6,Schifferstadt,1835,"eingeschossiges Fachwerkwohnhaus mit Kniestock, bezeichnet 1835",Kein Bild vorhanden,49.387547,8.373592
Gasthaus „Zur Kanne“,Kirchenstraße 9,Schifferstadt,1700!erste Hälfte des 18. Jahrhunderts,"stattlicher zweigeschossiger Fachwerkbau, erste Hälfte des 18. Jahrhunderts",//commons.wikimedia.org/wiki/Category:Museums_in_Schifferstadt,49.387134,8.372689
Katholisches Pfarrhaus,Kirchenstraße 10,Schifferstadt,1883,"Walmdachbau im Stil italienischer Renaissance-Villen, 1883",Kein Bild vorhanden,49.387414,8.372996
Katholische Pfarrkirche St. Jakobus,Kirchenstraße 14,Schifferstadt,1300!ab dem 14. Jahrhundert,"neuromanische dreischiffige Sandsteinbasilika, 1839, Entwurf August von Voit, Veränderungen 1854–60 durch Ludwig Hagemann; zwei Turmuntergeschosse aus dem 14. Jahrhundert; mit Ausstattung",Kein Bild vorhanden,49.386914,8.371599
Skulptur,"Kirchenstraße, an Nr. 16",Schifferstadt,1897,"neugotische Skulptur der hl. Elisabeth, 1897",Kein Bild vorhanden,49.386757,8.371242
Heimatmuseum,Kirchenstraße 17,Schifferstadt,1830!um 1830,"ehemaliges Gasthaus „Zum Adler“; Eckbau: teilweise Fachwerk, um 1830, Muschelnische mit Barockmadonna; rückwärtig ehemalige Nebengebäude, teilweise Fachwerk, um 1875; Westbau: Fachwerkhaus, 18. Jahrhundert; ortsbildprägend",Kein Bild vorhanden,49.386342,8.370737
Fachwerkhaus,Kirchenstraße 19,Schifferstadt,1749,"Fachwerkwohnhaus mit Wetterdächern, Toranlage bezeichnet 1749",Kein Bild vorhanden,49.386137,8.370322
Gaststätte „Zum grünen Baum“,Kirchenstraße 20,Schifferstadt,1850!zweite Hälfte des 19. Jahrhunderts,"ehemalige Gaststätte „Zum grünen Baum“; sandsteingegliederter Putzbau mit Torfahrt, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,49.386615,8.370855
Fachwerkhaus,Kleine Kapellenstraße 1,Schifferstadt,1700!18. Jahrhundert,"eingeschossiges Fachwerkwohnhaus mit Kniestock, 18. Jahrhundert; teilweise Überformung im 19. und 20. Jahrhundert",//commons.wikimedia.org/wiki/Category:Martin-Luther-Kirche_(Schifferstadt),49.386511,8.372099
Fachwerkhaus,Kleine Kapellenstraße 3,Schifferstadt,1750!Mitte des 18. Jahrhunderts,"eingeschossiges Fachwerkwohnhaus mit Kniestock, Mitte des 18. Jahrhunderts",Kein Bild vorhanden,49.38658,8.372531
Relief,"Lammgasse, an Nr. 1",Schifferstadt,1500!um 1500,"Relieftondo, Lamm Gottes, um 1500",Kein Bild vorhanden,49.381727,8.373117
Fachwerkhaus,Langgasse 10,Schifferstadt,"",eingeschossiges Fachwerkhaus,//commons.wikimedia.org/wiki/Category:Gustav-Adolf-Kirche_(Schifferstadt),49.383133,8.36179
Fachwerkhaus,Langgasse 20,Schifferstadt,1836,"eingeschossiges Fachwerkwohnhaus mit Kniestock, bezeichnet 1836",Kein Bild vorhanden,49.382475,8.361949
Schulhaus,Langgasse 54,Schifferstadt,1864,"ehemalige protestantische Schule; eingeschossiger siebenachsiger Putzbau, 1864 (?)",Kein Bild vorhanden,49.380407,8.360199
Protestantische Martin-Luther-Kirche,Langgasse 56,Schifferstadt,1660!um 1660,"nachgotischer Saalbau mit Dachreiter, um 1660",Kein Bild vorhanden,49.380269,8.359968
Fachwerkhaus,Langgasse 60,Schifferstadt,1810!um 1810,"eingeschossiges Fachwerkwohnhaus mit Kniestock, um 1810",Kein Bild vorhanden,49.380061,8.35964
Protestantisches Pfarrhaus,Langgasse 61,Schifferstadt,1923,"villenartiger Mansarddachbau mit Fußwalm, 1923",Kein Bild vorhanden,49.380367,8.36052
Protestantische Gustav-Adolf-Kirche,Lillengasse 99,Schifferstadt,1953!1953/54,"hausartiger Saalbau, Zwischenbau, Glockenturm, 1953/54, Architekten Karl Sturm, August Rosenkranz und Otto Stahl",Kein Bild vorhanden,49.380506,8.384717
Wohnhaus,Ludwigstraße 7,Schifferstadt,1900!Anfang des 20. Jahrhunderts,"Wohnhaus mit Kniestock, Jugendstilfachwerk, Anfang des 20. Jahrhunderts",Kein Bild vorhanden,49.385113,8.374108
Fachwerkhaus,Ludwigstraße 9,Schifferstadt,1700!18. Jahrhundert,"eingeschossiges Fachwerkwohnhaus mit Kniestock, 18. Jahrhundert",//commons.wikimedia.org/wiki/Category:Altes_Rathaus_(Schifferstadt),49.385037,8.374104
Fachwerkhaus,Ludwigstraße 14,Schifferstadt,1700!18. Jahrhundert,"eingeschossiges Fachwerkwohnhaus mit Kniestock, 18. Jahrhundert",Kein Bild vorhanden,49.384951,8.37396
Hofanlage,Ludwigstraße 32,Schifferstadt,1800!19. Jahrhundert,"Hofanlage, 19. Jahrhundert; eingeschossiges Fachwerkwohnhaus mit Kniestock, Stall, Scheune",Kein Bild vorhanden,49.383822,8.373542
Fachwerkhaus,Ludwigstraße 33,Schifferstadt,1675!Ende des 17. oder Anfang des 18. Jahrhunderts,"eingeschossiges Fachwerkwohnhaus mit Kniestock, Ende des 17. oder Anfang des 18. Jahrhunderts",Kein Bild vorhanden,49.383506,8.373546
"Kriegerdenkmal, Friedhofskreuz und Grabmäler","Mannheimer Straße, auf dem Friedhof",Schifferstadt,1782!ab 1782,"zwei barocke Grabkreuze in der Umfassungsmauer; Friedhofskreuz, bezeichnet 1782; Kriegerdenkmal 1866, 1870/71, 1914/18, Gussstein, um 1930; Grabmäler: Doppelgrab Ernst Freiherr von Gagern († 1865) und Margaretha Freifrau von Gagern († 1859): Nichenaufsätze mit Figuren; A. M. Day († 1895): drapiertes Kreuz, signiert Kern; H. H. Maurer († 1907): Engel, Galvanoplastik der Kunstanstalt Geisslingen, Stuttgart; J. Schotthofer († 1919): Urne mir Lorbeergehängen, Gussstein",Kein Bild vorhanden,49.387791,8.376695
Fachwerkhaus,Mannheimer Straße 3,Schifferstadt,1750!Fachwerkwohnhaus,"eingeschossiges Fachwerkwohnhaus mit Kniestock, Fachwerkwohnhaus",Kein Bild vorhanden,49.387862,8.374797
Katholische Kapelle,"Mannheimer Straße, Ecke Friedhofstraße",Schifferstadt,1837,"Katholische Kapelle; Putzbau, 1837; innen historisierende Marienfigur; vor der Kapelle Wegekreuz, Sockel bezeichnet 1747, Kreuz bezeichnet 1817, Korpus 1870",Kein Bild vorhanden,49.388742,8.381271
Altes Rathaus,Marktplatz 1,Schifferstadt,1558,"Fachwerkbau mit massivem Arkadenerdgeschoss, bezeichnet 1558, Ober- und Dachgeschosse von 1685; platzbildprägend",,49.386683,8.371571
Saalbau des Gasthauses „Zum Ochsen“,"Marktplatz, zu Nr. 3",Schifferstadt,1920!1920er Jahre,"eingeschossiger Zeilenbau, expressionistischen Motive, 1920er Jahre",,49.386825,8.37207
Hofanlage,Marktplatz 6,Schifferstadt,1700!18. Jahrhundert,"barocke ehemalige Hofanlage, 18. Jahrhundert; Fachwerkwohnhaus mit Krüppelwalmdach, Toranlage bezeichnet 1738; platzbildprägend",,49.386333,8.371916
Villa,Mühlstraße 11,Schifferstadt,1912!um 1912,"Villa im Landhausstil mit Jugendstildekor, um 1912",,49.387299,8.362915
Schulhaus,Rehbachstraße 2,Schifferstadt,1883,"Schule; dreigeschossiger neuklassizistischer Putzbau, 1883",,49.387314,8.372374
Gasthaus „Drei Kronen“,Speyerer Straße 1,Schifferstadt,1724,"Fachwerkeckhaus, 1724, Fachwerkanbau wenig später; platzbildprägend",,49.382854,8.373057
Fachwerkhaus,Speyerer Straße 9,Schifferstadt,1750!Mitte des 18. Jahrhunderts,"eingeschossiges Fachwerkwohnhaus mit Kniestock, Mitte des 18. Jahrhunderts",,49.382425,8.373306
Fachwerkhaus,Zwerchgasse 7,Schifferstadt,1775!spätes 18. Jahrhundert,"eingeschossiges Fachwerkwohnhaus mit Kniestock, wohl aus dem späten 18. Jahrhundert",,49.382481,8.372227
Fachwerkhaus,Altriper Straße 1,Waldsee (Pfalz),1750!Mitte des 18. Jahrhunderts,"Fachwerkwohnhaus, Mitte des 18. Jahrhunderts, Toranlage bezeichnet 1783",Kein Bild vorhanden,49.394761,8.441806
Fachwerkhaus,Altriper Straße 4,Waldsee (Pfalz),1717,"Fachwerkwohnhaus, bezeichnet 1717",Kein Bild vorhanden,49.394625,8.441875
Muschelnische,"Altriper Straße, an Nr. 12",Waldsee (Pfalz),1850!zweite Hälfte des 19. Jahrhunderts,"Muschelnische mit Marienfigur, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,49.394547,8.44259
Fünf Tabakschuppen,"Altriper Straße, am Sportplatz",Waldsee (Pfalz),1930!1930er Jahre,"Gruppe von fünf Tabakschuppen, mehrgeschossige Holzkonstruktionen, überwiegend auf massivem Sockel, Satteldächer, 1930er Jahre",Kein Bild vorhanden,49.398367,8.449708
Bildstock,"Berliner Straße, Ecke Steiggasse",Waldsee (Pfalz),1751,"Bildstock, 1751, 1832 renoviert, Erneuerung 1962",//commons.wikimedia.org/wiki/Category:Wolfgangskapelle_(Waldsee),49.398063,8.443751
Protestantische Pfarrkirche,Goethestraße 35,Waldsee (Pfalz),1954,"hausartiger Putzbau mit Dachreiter, 1954, Architekt Karl Latteyer, Ludwigshafen; wandhohes Glasfenster von Gottfried von Stockhausen; Glocke, 1794 von Anselm Franz Speck, Heidelberg",Kein Bild vorhanden,49.391782,8.435421
Katholische St.-Wolfgangs-Kapelle,"Haardtstraße, Ecke Goethestraße",Waldsee (Pfalz),1886,"gotisierender Satteldachbau, 1886; im Innern zwei Stuckstatuen, 19. Jahrhundert",Kein Bild vorhanden,49.390687,8.436574
Fachwerkhaus,Karlstraße 11,Waldsee (Pfalz),1777,"eingeschossiges Fachwerkwohnhaus mit fußwalmartigen Vordächern, bezeichnet 1788, Sockelstein bezeichnet 1777, im Hof Stichbogen der Gartenpforte, bezeichnet 1788",//commons.wikimedia.org/wiki/Category:St._Martin_(Waldsee),49.393983,8.442486
Pfarrhof,Kirchstraße 14,Waldsee (Pfalz),1750!um 1750,"ehemaliger Pfarrhof; Pfarrhaus mit Walmdach, Scheune mit Krüppelwalmdach, um 1750; Umfassungsmauer teilweise bauzeitlich, teilweise um 1843",Kein Bild vorhanden,49.395064,8.443042
Katholische Pfarrkirche St. Martin,Kirchstraße 16,Waldsee (Pfalz),1842!1842/43,"neuromanischer Rotsandsteinquader-Saalbau, 1842/43, Architekt August von Voit; mit Ausstattung",//commons.wikimedia.org/wiki/Category:Altes_Rathaus_(Waldsee),49.395248,8.44306
Fabrikanlage,Ludwigstraße 1,Waldsee (Pfalz),1892,"dreiseithofartige Anlage aus Fabrikgebäude, Wohnhaus und Toranlage; dreiflügeliger Putzbau, 1892, Aufstockung 1917; ortsbildprägend",Kein Bild vorhanden,49.396126,8.441758
Wohnhaus,Ludwigstraße 16,Waldsee (Pfalz),1878,"Wohnhaus, 1878, Toranlage 18. Jahrhundert",Kein Bild vorhanden,49.395125,8.441317
Altes Rathaus,Ludwigstraße 17,Waldsee (Pfalz),1829!1829/30,"nachbarocker Walmdachbau, 1829/30, Architekt Bernhard Spatz, Speyer",Kein Bild vorhanden,49.394882,8.441505
Backhaus,"Ludwigstraße, zu Nr. 18",Waldsee (Pfalz),1864!um 1864,"an der Hofeinfahrt: Backhaus mit Hühnerstall und Taubenschlag, kleiner Fachwerkbau, um 1864",Kein Bild vorhanden,49.39512,8.440973
Hofanlage,Ludwigstraße 24,Waldsee (Pfalz),1750!Mitte des 18. Jahrhunderts,"Fachwerkwohnhaus, Mitte des 18. Jahrhunderts; bauzeitliche Fachwerkscheune",Kein Bild vorhanden,49.394652,8.441119
Hofanlage,Ludwigstraße 38,Waldsee (Pfalz),1800!um 1800,"schlichte Hofanlage; eingeschossiges Wohnhaus mit Fachwerkkniestock und -giebel, um 1800; Krüppelwalmdachscheune, Ständerbau, um 1830; Schuppen, um 1864",Kein Bild vorhanden,49.393605,8.440927
Kilometerstein,"Ludwigstraße, gegenüber Nr. 202",Waldsee (Pfalz),Mitte des 19. Jahrhunderts,"Kilometerstein; Sandsteinkegel, Mitte des 19. Jahrhunderts",Kein Bild vorhanden,49.384181,8.437779
Kriegerdenkmal,"Ludwigstraße, Ecke Haardtstraße",Waldsee (Pfalz),1928,"Kriegerdenkmal 1914/18, 1928 von Ludwig Kern, Speyer",//commons.wikimedia.org/wiki/Category:Hermann-Gmeiner-Schule_(Waldsee),49.392334,8.440392
Kriegerdenkmal,"Ludwigstraße, Ecke Haardtstraße",Waldsee (Pfalz),1904,"Kriegerdenkmal 1870/71, 1904 von H. Pauly, Speyer",Kein Bild vorhanden,49.392328,8.440446
Wohn- und Gasthaus „Zur Goldenen Kanne“,Neuhofener Straße 4,Waldsee (Pfalz),1808,"Wohn- und Gasthaus mit Toranlage, bezeichnet 1808; eingeschossiger Fachwerkbau mit Krüppelwalmdach, 1808, tonnengewölbter Keller, um 1700; Krüppelwalmdachscheune, Ständerbau, bezeichnet 1775, mit wiederverwendeten Teilen von 1699",Kein Bild vorhanden,49.396381,8.441391
Friedhofskreuz und Grabmäler,"Rehütter Straße, auf dem Friedhof",Waldsee (Pfalz),1765!ab 1765,"Friedhofskreuz: Sockel bezeichnet 1765, unterer Teil des Kreuzstamms und Korpus aus dem 19. Jahrhundert; Grabmäler: L. Lutz († 1905): Engel, Galvanoplastik, Ende des 19. Jahrhunderts, signiert Liebhaber; E. Claus († 1945): neuromanisch mit Pietà, zweite Hälfte des 19. Jahrhunderts; aufgelassene Gräber: Galvanoplastik einer Trauernden, Ende des 19. Jahrhunderts; J. Hirsch († 1862), F. Haffner († 1898), Ph. Weick († 1916)",Kein Bild vorhanden,49.398005,8.437815
Hermann-Gmeiner-Schule,Schulstraße 17,Waldsee (Pfalz),1927,"anspruchsvolle T-förmige Anlage, 1927, Architekt Philipp Spelger, Kaiserslautern, siebenachsige Erweiterung ab 1938; straßenbildprägend",,49.39355,8.437062
Bildstock,nordöstlich des Ortes am Hochweg; Flur Mittelaftergewanne,Waldsee (Pfalz),1756,"Säule mit reliefiertem Kapitell, bezeichnet 1756",,49.403385,8.456156
Bildstock,"südwestlich des Ortes; Flur Am Kreuzweg, Zweite Gewanne",Waldsee (Pfalz),1775!Ende des 18. Jahrhunderts,"Pfeiler mit Blendnische, Ende des 18. Jahrhunderts",,49.389128,8.429781
Bildstock,westlich des Ortes; Flur Bildstockgewanne,Waldsee (Pfalz),"","quadratischer Pfeiler, bezeichnet 1782",,49.396221,8.430321
