,,,,,,,,
Denkmalzone 1920er-Jahre-Siedlung Gustav-Pfarrius-Straße,"Gustav-Pfarrius-Straße 14–30 (gerade Nummern), 17–37 (ungerade Nummern), Ringstraße 102–110 (gerade Nummern), Jean-Winckler-Straße 2–20 (gerade Nummern), Röntgenstraße 20–24 (gerade Nummern), 25–35 (ungerade Nummern)",der Kernstadt von Bad Kreuznach,1925!1925/26,"seit 1897 erstellter Gebäudekomplex im Park, gotisierende Sandstein- und Backsteinbauten (erster Bauabschnitt), Architekt Friedrich Langenbach, Barmen; 1912-54 angepasste Ergänzungsbauten, Architekt Willibald Hamburger[2]",Kein Bild vorhanden,nope,nope,
Haus Berlin,Nahestraße 23,Bad Münster am Stein-Ebernburg,1850!drittes Viertel des 19. Jahrhunderts,"spätklassizistisches Wohnhaus, drittes Viertel des 19. Jahrhunderts",Kein Bild vorhanden,49.810974,7.847852,
Fachwerkhaus,Nahestraße 24,Bad Münster am Stein-Ebernburg,1750!Mitte des 18. Jahrhunderts,"barockes Fachwerkhaus, teilweise massiv, Mitte des 18. Jahrhunderts",Kein Bild vorhanden,49.811201,7.84803,
Fischerhäuschen,Nahestraße 28,Bad Münster am Stein-Ebernburg,1575!Ende des 16. Jahrhunderts,"hochgesockeltes eingeschossiges Fachwerkhaus, wohl vom Ende des 16. Jahrhunderts, Toranlage, 18. oder Anfang des 19. Jahrhunderts",Kein Bild vorhanden,49.811017,7.847704,
Villa,Naheweinstraße 6,Bad Münster am Stein-Ebernburg,1900!um 1900/10,"stattliche Villa, Heimatstil, um 1900/10",//commons.wikimedia.org/wiki/Category:Burg_Rheingrafenstein,49.811121,7.841302,
Post,Pfarrer-Dr.-Nagel-Weg 1,Bad Münster am Stein-Ebernburg,1900!um 1900,"ehemalige Post; spätgründerzeitlicher Walmdachbau, um 1900",Kein Bild vorhanden,49.81225,7.848002,
Katholische Pfarrkirche Maria Himmelfahrt,Rotenfelser Straße 10,Bad Münster am Stein-Ebernburg,1900,"neugotischer Saalbau, 1900, Architekt Ludwig Becker",Kein Bild vorhanden,49.812482,7.843998,
Burgruine Rheingrafenstein,südöstlich des Ortes,Bad Münster am Stein-Ebernburg,1050!um 1050,"um 1050, 1688 gesprengt, seit 1721 Steinbruch, Ausbau 1978–82",Kein Bild vorhanden,49.807789,7.850293,
ehemaliger Bahnhof Ebernburg,Berliner Straße 77,Bad Münster am Stein-Ebernburg,1880!um 1880,"sogenannter Künstlerbahnhof, spätklassizistischer Sandsteinquaderbau, um 1880",Kein Bild vorhanden,49.806772,7.840706,
Hofanlage,Burgstraße 1,Bad Münster am Stein-Ebernburg,1780,"spätbarocke Hofanlage, bezeichnet 1780",Kein Bild vorhanden,49.809266,7.837742,
Wohnhaus,Burgstraße 2,Bad Münster am Stein-Ebernburg,1700!18. Jahrhundert,"barockes Wohnhaus, 18. Jahrhundert",Kein Bild vorhanden,49.809213,7.837529,
Pfarrhaus,Burgstraße 9,Bad Münster am Stein-Ebernburg,1776,"ehemaliges katholisches Pfarrhaus; spätbarocker Massivbau, 1776",Kein Bild vorhanden,49.808883,7.837533,
Amtshaus,Burgstraße 13,Bad Münster am Stein-Ebernburg,1556,"ehemaliges Amtshaus; Vierflügelanlage; Renaissance-Fachwerkbau, verputzt, bezeichnet 1556, Veränderungen des 19. Jahrhunderts",Kein Bild vorhanden,49.808698,7.836913,
Spolien,"Burgstraße, an Nr. 16",Bad Münster am Stein-Ebernburg,1743,"zwei barocke Reliefs, Kartusche bezeichnet 1743",Kein Bild vorhanden,49.808309,7.836922,
Spolie,"Burgstraße, an Nr. 19",Bad Münster am Stein-Ebernburg,1561,"Reliefstein, bezeichnet 1561",Kein Bild vorhanden,49.808164,7.83665,
Hofanlage,Franz-von-Sickingen-Straße 4,Bad Münster am Stein-Ebernburg,1700!18. Jahrhundert,"Hofanlage, 18. Jahrhundert; barockes Fachwerkhaus, verputzt, Scheune, teilweise Fachwerk",Kein Bild vorhanden,49.809124,7.838401,
Fachwerkhaus,Franz-von-Sickingen-Straße 5,Bad Münster am Stein-Ebernburg,1719,"barockes Fachwerkhaus, verputzt, 1719",Kein Bild vorhanden,49.809063,7.838414,
Grabmäler,"Friedhofstraße, auf dem Friedhof",Bad Münster am Stein-Ebernburg,1900!um 1900,"Grabmal Günther Franz, Schauwand, 1917; Grabmal Hermann Müller, Sandstein, 1897",Kein Bild vorhanden,49.811047,7.836342,
Protestantische Alte Johannes-Kirche,Friedhofstraße 5,Bad Münster am Stein-Ebernburg,1100!12. Jahrhundert,"im Kern vermutlich romanischer Saalbau, 12. Jahrhundert, Westturm aus der zweiten Hälfte des 13. Jahrhunderts",Kein Bild vorhanden,49.810484,7.837046,
Grabsteine und Kriegerdenkmäler,"Friedhofstraße, bei Nr. 5 auf dem Kirchhof",Bad Münster am Stein-Ebernburg,1600!17. bis 20. Jahrhundert,"barocke Grabsteine, 17., 18. und 19. Jahrhundert, Kriegerdenkmäler 1914/18 und 1939/45",Kein Bild vorhanden,49.810341,7.836922,
Katholische Pfarrkirche St. Johannes der Täufer,Schloßgartenstraße,Bad Münster am Stein-Ebernburg,1915!1915–18,"Saalbau, Heimatstil mit Jugendstilmotiven, 1915–18, Architekten Karl Marschall, Göllheim, und August Greifzu, Ludwigshafen; zugehörig: Pfarrhaus, 1916–18",//commons.wikimedia.org/wiki/Category:Burg_Ebernburg,49.809914,7.835138,
Wegekreuz,"Schloßgartenstraße, bei Nr. 28",Bad Münster am Stein-Ebernburg,1700!18. Jahrhundert,"Wegekreuz, barock, 18. Jahrhundert",Kein Bild vorhanden,49.809747,7.837919,
Schulhaus,Schloßgartenstraße 30,Bad Münster am Stein-Ebernburg,1850!Mitte des 19. Jahrhunderts,"ehemalige Schule (?); spätklassizistischer Walmdachbau, Mitte des 19. Jahrhunderts",,49.809952,7.837761,
Fachwerkhaus,Turmstraße 5,Bad Münster am Stein-Ebernburg,1600!17. Jahrhundert,"barockes Fachwerkhaus, teilweise massiv, 17. Jahrhundert",,49.809172,7.837148,
Ebernburger Mühle,südlich des Ortes an der Alsenz,Bad Münster am Stein-Ebernburg,1438!vor 1438,"ehemalige Bannmühle, 1438 erwähnt, Vierflügelanlage; zweieinhalbgeschossiges Wohnhaus, bezeichnet 1871, über älteren Kellern; Torbogen bezeichnet 1584; Scheunen, teilweise Fachwerk",,49.798033,7.833982,
Stellwerk,südlich des Ortes,Bad Münster am Stein-Ebernburg,1904!um 1904/08,"ehemaliges Stellwerk der Alsenzbahn; Walmdachbau, Schieferbruchstein, um 1904/08",,49.802855,7.836562,
Ebernburg,südöstlich des Ortes,Bad Münster am Stein-Ebernburg,1209!vor 1209,"1209 erwähnt, ab 1482 Ausbau zur neuzeitlichen Festung, 1523 eingeäschert, nach 1542 Wiederaufbau, 1697 großteils geschleift; staufische Schildmauerreste, Bauten des späten 15. und 16. Jahrhunderts, Reste eines Wohngebäudes, bezeichnet 1581, neugotisches Haus Sickingen, 1840",,49.807124,7.838595,
Hutten-Sickingen-Denkmal,südöstlich des Ortes unterhalb der Ebernburg,Bad Münster am Stein-Ebernburg,1886!1886–89,"Doppeldenkmal, 1886–89, Bildhauer Ludwig Cauer nach Entwurf Carl Cauers",,49.807602,7.839397,
Trombacher Hof,südwestlich des Ortes,Bad Münster am Stein-Ebernburg,1798,"spätbarockes Fachwerkhaus, bezeichnet 1798; im Scheunengebäude Mauern und Giebel der gotischen Kirche",,49.793941,7.800012,
Altes Schulhaus,Friedhofsweg 1,Bosenheim,1897,"eingeschossiger Putzbau, 1897",Kein Bild vorhanden,49.84321,7.915085,
Hofanlage,Hackenheimer Straße 2,Bosenheim,1567,"Dreiseithof; Wohnhaus, teilweise Fachwerk, 1929 und älter, Scheunensturz bezeichnet 1567; ortsbildprägend",Kein Bild vorhanden,49.844829,7.913432,
Schulhaus,Hackenheimer Straße 6,Bosenheim,1909,"repräsentativer Walmdachbau, 1909",Kein Bild vorhanden,49.843422,7.914718,
Evangelisches Pfarrhaus,Karl-Sack-Straße 2,Bosenheim,1875!Ende des 19. Jahrhunderts,"historisierender Putzbau, Ende des 19. Jahrhunderts; straßenbildprägend",Kein Bild vorhanden,49.844755,7.913012,
Wohnhaus,Karl-Sack-Straße 3,Bosenheim,1617,"Renaissancebau, teilweise Fachwerk (verputzt), bezeichnet 1617",Kein Bild vorhanden,49.844916,7.913312,
Evangelische Pfarrkirche,Karl-Sack-Straße 4,Bosenheim,1300!14. Jahrhundert,"Chor aus dem 14. Jahrhundert, Saalbau mit Dachreiter, 1744; straßenbildprägend",Kein Bild vorhanden,49.844654,7.912637,
Weingut Görz,Parkstraße 2,Bosenheim,1826,"Gutshof der Weinbauernfamilie Görz; Hakenhof: Wohntrakt mit Scheune, eingeschossiger Bruchsteinbau, 1826, Verwalterhaus, teilweise verschindelt, 1927",Kein Bild vorhanden,49.844018,7.914474,
Hofanlage,Rheinhessenstraße 35,Bosenheim,1835,"Dreiseithof; Wohnhaus, teilweise Fachwerk (verputzt), bezeichnet 1835",Kein Bild vorhanden,49.845863,7.911913,
Wohnhaus,Rheinhessenstraße 43,Bosenheim,1700!18. Jahrhundert,"barocker Krüppelwalmdachbau, teilweise Fachwerk (verputzt), 18. Jahrhundert",Kein Bild vorhanden,49.845458,7.912648,
Wohnhaus,Rheinhessenstraße 54,Bosenheim,1587,"Wohnhaus, teilweise Fachwerk, Renaissance-Doppelfenster, bezeichnet 1587",Kein Bild vorhanden,49.845673,7.911967,
Wohnhaus,Rheinhessenstraße 58,Bosenheim,1700!18. Jahrhundert,"barockes Wohnhaus, teilweise Fachwerk, 18. Jahrhundert",Kein Bild vorhanden,49.845302,7.912862,
Hofanlage,Rheinhessenstraße 65,Bosenheim,1775!spätes 18. Jahrhundert,"Dreiseithof, im Kern wohl aus dem späten 18. Jahrhundert; Scheune und Wohnhaus, teilweise Fachwerk, Stallgebäude",Kein Bild vorhanden,49.845139,7.915086,
Rathaus,Rheinhessenstraße 68,Bosenheim,1732,"Krüppelwalmdachbau, 1732, Erweiterung bezeichnet 1937",Kein Bild vorhanden,49.84497,7.914252,
Wohnhaus,Rheinhessenstraße 78,Bosenheim,1700!18. Jahrhundert,"Wohnhaus, teilweise Fachwerk, 18. Jahrhundert",,49.844978,7.915443,
Wohnhaus,Ernst-Ludwig-Straße 1,Ippesheim (Nahe),1891,"Eckwohnhaus, Ziegelbau, 1891, eingeschossige Ökonomie, 1888",Kein Bild vorhanden,49.87826,7.920358,
Wohnhaus,Ernst-Ludwig-Straße 4,Ippesheim (Nahe),1700!18. Jahrhundert,"Wohnhaus, teilweise Fachwerk, 18. Jahrhundert",Kein Bild vorhanden,49.878352,7.919615,
Wohnhaus,Ernst-Ludwig-Straße 13,Ippesheim (Nahe),1700!18. Jahrhundert,"Wohnhaus, teilweise Fachwerk (teilweise verputzt), 18. Jahrhundert",Kein Bild vorhanden,49.878669,7.919005,
Wohnhaus,Falkensteinstraße 1,Ippesheim (Nahe),1775!spätes 18. Jahrhundert,"Eckwohnhaus, teilweise Fachwerk (teilweise verputzt), wohl aus dem späten 18. Jahrhundert, ehemalige Scheune, um 1900",Kein Bild vorhanden,49.8784,7.919384,
Evangelische Christuskirche,Frankfurter Straße 2,Ippesheim (Nahe),1892,"zweigeschossiger Saalbau, Kleinquadermauerkwerk, 1892, Architekt Karl Schwartze, Darmstadt",Kein Bild vorhanden,49.878067,7.920318,
Wohnhaus,Frankfurter Straße 8,Ippesheim (Nahe),1900!nach 1900,"eineinhalbgeschossiges Wohnhaus, Gelbziegelbau, kurz nach 1900",Kein Bild vorhanden,49.877383,7.920059,
Denkmalzone Ortskern,"Bachgasse, Dalbergstraße, Dorfbrunnenstraße, Heinrich-Kreuz-Straße, Kirchwinkel, Mainzer Straße, Zentbrückenstraße",Planig,,"geschlossene historische Bausubstanz dörflichen Charakters bis ins 19. Jahrhundert einschließlich der spätmittelalterlichen evangelischen Pfarrkirche, des Apfelsbachs und der Mischgärten; mehrheitlich eineinhalbgeschossige Wohn- oder Hofhäuser, Hofanlagen unterschiedlichen Typs und unterschiedlicher Größe mit Scheunenkranz",Kein Bild vorhanden,49.861677,7.911726,
Denkmalzone Jüdischer Friedhof,östlich des Ortes, Flur Im Frenzenberg,Planig,"spätestens im 18. Jahrhundert angelegtes, heckenumsäumtes Areal mit 13 Grabsteinen des 18. und späten 19. Jahrhunderts[1]",Kein Bild vorhanden,49.863146,7.930612,
Katholische Pfarrkirche St. Gordianus,Biebelsheimer Straße 4,Planig,1899!1899/1900,"dreischiffige romanische Pseudobasilika, Bruchsteinbau, 1899/1900, Architekt Ludwig Becker; mit Ausstattung; ortsbildprägend",Kein Bild vorhanden,49.863279,7.914372,
Heiligenhäuschen,"Biebelsheimer Straße, Ecke Am Winzerkeller",Planig,1892,"Gelbziegelbau mit Treppengiebeln, 1892",Kein Bild vorhanden,49.863436,7.914574,
Evangelische Pfarrkirche,Kirchwinkel,Planig,1492,"spätmittelalterlicher Putzbau, Chor 1492, Saal 1507; Turm wohl hochmittelalterlich, oberstes Geschoss und Spitzhelm 1818, Architekt Friedrich Schneider; mit Ausstattung",Kein Bild vorhanden,49.862557,7.912039,
Wohnhaus,Mainzer Straße 55,Planig,,"Wohnhaus, barocker Krüppelwalmdachbau, teilweise Fachwerk",Kein Bild vorhanden,49.861037,7.909357,
Wohnhaus,Mainzer Straße 63,Planig,1900,"Wohnhaus, sandsteingegliederter Ziegelbau, 1900",Kein Bild vorhanden,49.861421,7.910098,
Scheune,Mainzer Straße 85,Planig,1700!18. Jahrhundert,"barocke Krüppelwalmdach-Scheune, 18. Jahrhundert",Kein Bild vorhanden,49.863087,7.913047,
Wohnhaus,Mainzer Straße 87,Planig,,"Wohnhaus, barocker Krüppelwalmdachbau",Kein Bild vorhanden,49.863155,7.913178,
Villa,Rheinpfalzstraße 15,Planig,1899,"Villa, hausteingegliedeter Ziegelbau, Neurenaissancemotive, 1899",Kein Bild vorhanden,49.859319,7.909713,
Evangelische Lukaskirche,Hintere Grabenstraße 8,Winzenheim,1833!1833/34,"klassizistischer Saalbau, 1833/34, Architekt Ludwig Behr",Kein Bild vorhanden,49.870992,7.865119,
Hofgut Zweifel,Kirchstraße 1,Winzenheim,1772,"barocke Hofanlage, 1772; Flügelbauten mit Walmdächern, eingeschossiger Quertrakt, Torfahrt mit Wappen",Kein Bild vorhanden,49.871586,7.866616,
Katholische Kirche St. Peter,Kirchstraße 26,Winzenheim,1819,"spätklassizistischer Saalbau, 1819; Hochaltar, um 1770, spätgotischer Taufstein, um 1500",Kein Bild vorhanden,49.871565,7.865395,
Gut Neuhof,Mönchberg,Winzenheim,1800!um 1800,"Dreiseithof; Wohnhaus, Krüppelwalmdachbau, um 1800, rechtwinkliger Anbau, 1905, weiterer rechtwinkliger Anbau über spätmittelalterlichen (?) Kellern, Wirtschaftsgebäude aus der Mitte des 19. und dem frühen 20. Jahrhundert",Kein Bild vorhanden,49.869421,7.859205,
Evangelische Pfarrkirche,Hauptstraße 12,Abtweiler,1400!15. Jahrhundert,"spätgotischer Saalbau, 15. Jahrhundert; Sakristeianbau bezeichnet 1756",Kein Bild vorhanden,49.744701,7.655859,
Hofanlage,Im Tal 1,Abtweiler,1874,"Dreiseithof, Bruchsteinbauten, Wohnhaus bezeichnet 1874",Kein Bild vorhanden,49.743652,7.656686,
Dorfgemeinschaftshaus,Im Tal 5,Abtweiler,1910!um 1910,"ehemalige Schule mit Lehrerwohnung; zweiflügeliger Krüppelwalmdachbau, Heimatstil, um 1910",Kein Bild vorhanden,49.743459,7.657444,
Unterstallhaus,Turmweg 3/5,Abtweiler,1800!Anfang oder Mitte des 19. Jahrhunderts,"zweiteiliges Unterstallhaus, teilweise Fachwerk, Anfang oder Mitte des 19. Jahrhunderts",Kein Bild vorhanden,49.743958,7.655479,
Wohnhaus,Brunnenstraße 18,Allenfeld,1833,"Krüppelwalmdachbau, Fachwerk, teilweise verschiefert, bezeichnet 1833",Kein Bild vorhanden,49.866896,7.668439,
Wegweiser,nordöstlich des Ortes an der K 28,Allenfeld,1820!um 1820,"klassizistischer Sandstein-Obelisk, um 1820",Kein Bild vorhanden,49.873164,7.674146,
Wegweiser,östlich des Ortes an der L 238,Allenfeld,1820!um 1820,"klassizistischer Sandstein-Obelisk, um 1820",Kein Bild vorhanden,49.871126,7.680514,
Wegweiser,östlich des Ortes an der L 238,Allenfeld,1820!um 1820,"klassizistischer Sandstein-Obelisk, um 1820",Kein Bild vorhanden,49.871699,7.683803,
Denkmalzone Neuer jüdischer Friedhof,"Am Rödelstein, auf dem christlichen Friedhof",Altenbamberg,1884,"ummauertes Areal mit 23 Grabsteinen, 1884 bis 1937[1]",Kein Bild vorhanden,49.785459,7.828888,
Denkmalzone Alter jüdischer Friedhof,östlich des Ortes, Distrikt Am Judengraben,Altenbamberg,1750 angelegtes Areal mit 10 Grabsteinen[2],Kein Bild vorhanden,49.785133,7.835216,
Denkmalzone Am Bernhardsschlößchen,südöstlich des Ortes,Altenbamberg,1357,"Burgruine Treuenfels, sogenanntes Bernhardschlößchen; Bruchstein-Mauerzüge der Burgruine, 1357 errichtet [3]",Kein Bild vorhanden,49.783183,7.833929,
Denkmalzone Altenbaumburg,östlich des Ortes auf dem Schloßberg,Altenbamberg,1253!vor 1253,"Halsgraben und Schildmauer, Rechteckturm, Mauerresteauds dem 13. Jahrhundert, Reste gotischer Wohnbauten und der gotischen Kapelle vor 1253 entstandenen, 1482 verfallenen Stammburg der Raugrafen; der gotische Palas 1981–83 wiederaufgebaut[4]",//commons.wikimedia.org/wiki/Category:Altenbaumburg,49.786034,7.834716,
Grabmal,"Am Rödelstein, auf dem christlichen Friedhof",Altenbamberg,1900!um 1900,"Grabstein Kastl-Voelker, Schauwand, Relief einer Trauernden, um 1900",Kein Bild vorhanden,49.785926,7.829775,
Villa,Am Rödelstein 2,Altenbamberg,1860!um 1860,"Villa, um 1860, eingeschossiger Anbau",Kein Bild vorhanden,49.786769,7.830175,
Haustür,"Burgstraße, an Nr. 4",Altenbamberg,1809,"Haustür mit Oberlicht, bezeichnet 1809",Kein Bild vorhanden,49.786046,7.831906,
Fachwerkhaus,Burgstraße 12 (?),Altenbamberg,1770,"barockes Fachwerkhaus, bezeichnet 1770",Kein Bild vorhanden,49.786685,7.83219,
Fachwerkhaus,Burgstraße 20,Altenbamberg,1500!16. Jahrhundert,"Fachwerkhaus, Renaissanceportal, 16. Jahrhundert, Erdgeschoss im 19. Jahrhundert verändert",Kein Bild vorhanden,49.786865,7.832524,
Fachwerkhaus,Burgstraße 22,Altenbamberg,1700!18. Jahrhundert,"barockes Fachwerkhaus, 18. Jahrhundert",Kein Bild vorhanden,49.786837,7.83276,
Fachwerkhaus,Burgstraße 26,Altenbamberg,1700!18. oder Anfang des 19. Jahrhunderts,"Fachwerkhaus, 18. oder Anfang des 19. Jahrhunderts",Kein Bild vorhanden,49.787047,7.832894,
Spolie,"Burgstraße, an Nr. 27",Altenbamberg,1580,"Spolie, bezeichnet 1580",Kein Bild vorhanden,49.787036,7.833005,
Protestantische Kirche,"Hauptstraße, Ecke Am Rödelstein",Altenbamberg,1821!1821–23,"klassizistischer Saalbau, 1821–23",Kein Bild vorhanden,49.786316,7.830831,
Katholische Kirche Maria Geburt und St. Mauritius,Hauptstraße 39,Altenbamberg,1783,"spätbarocker Saalbau, 1783",Kein Bild vorhanden,49.786712,7.831439,
Bahnhof,Hauptstraße 43,Altenbamberg,1875!Ende des 19. Jahrhunderts,"Gründerzeitbau, teilweise Fachwerk, Fachwerkgüterschuppen, Ende des 19. Jahrhunderts",Kein Bild vorhanden,49.786817,7.830873,
Brücklocherhof,östlich des Ortes an der K 85,Altenbamberg,1700!18. und erste Hälfte des 19. Jahrhunderts,"Brücklocherhof, 18. und erste Hälfte des 19. Jahrhunderts; Wirtschaftsgebäude teilweise Fachwerk",Kein Bild vorhanden,49.77911,7.860224,
Weinbergshaus,südöstlich des Ortes, Flur Eilbacher Hang,Altenbamberg,1890!um 1890,"gründerzeitlicher Klinkerbau, um 1890",Kein Bild vorhanden,49.781743,7.842573
Denkmalzone Burgruine Rosenburg,Ritterpfad 1,Argenschwang,1100!12. Jahrhundert,"Ruine der im 12. Jahrhundert gegründeten, um 1793 zerstörten Rosenburg: zwei Geschosse des Palas, Reste eines bastionsartigen Baus mit Flankentürmen, ehemaliges dreigeschossiges Torhaus, 17. Jahrhundert",//commons.wikimedia.org/wiki/Category:Burg_Argenschwang,49.880884,7.700464,
Denkmalzone Jüdischer Friedhof,nordöstlich des Ortes, Distrikt Im Nauenweg,Argenschwang,1870,Areal mit 65 Grabsteinen von 1870 bis 1938[1],Kein Bild vorhanden,49.884385,7.702124
Pfarrhaus,Am Ehrenmal 1,Argenschwang,1665,"ehemaliges lutherisches Pfarrhaus; barocker Fachwerkbau, bezeichnet 1665",Kein Bild vorhanden,49.881284,7.699148,
Evangelische Kirche,Brunnenstraße 5,Argenschwang,1880!1880–1883,"neugotischer Bruchsteinbau, 1880–1883, Stadtbaumeister Hartmann, Kreuznach",Kein Bild vorhanden,49.88126,7.6996137,
Synagoge,"Brunnenstraße, zu Nr. 7",Argenschwang,1600!17. und 18. Jahrhundert,"ehemalige Synagoge; dreiteilige Gruppe barocker Fachwerkbauten, 17. und 18. Jahrhundert",Kein Bild vorhanden,49.881082,7.699477,
Hofanlage,Brunnenstraße 9,Argenschwang,1700!18. Jahrhundert,"Streckhof; Fachwerkhaus, teilweise massiv, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,49.880884,7.699595,
Fachwerkhaus,Brunnenstraße 11,Argenschwang,1700!18. Jahrhundert,"barockes Fachwerkhaus, wohl aus dem 18. Jahrhundert",,49.880667,7.699488,
Fachwerkhaus,Brunnenstraße 23,Argenschwang,1800!um 1800,"Fachwerkhaus, um 1800",,49.879034,7.699282,
Wohnhaus,Hauptstraße 2,Auen (Hunsrück),1850!um 1850,"spätklassizistischer Sandsteinquaderbau, um 1850",Kein Bild vorhanden,49.830088,7.594601,
Rathaus,Zur Feuchten Ecke 1,Auen (Hunsrück),1850!um 1850,"ehemalige Schule; spätklassizistischer Sandsteinquaderbau, um 1850",Kein Bild vorhanden,49.831322,7.597091,
Katholische St. Willigiskapelle,östlich des Ortes, Distrikt Kirchwiesen,Auen (Hunsrück),,"ehemals „Geh-in-Kirche“; Chor der seit dem 17. Jahrhundert ruinösen romanischen, frühgotisch umgebauten Kirche, 1912 wiederhergestellt",//commons.wikimedia.org/wiki/Category:Willigiskapelle_(Auen),49.833424,7.610284
